biote_clinic_name,biote_phone,biote_street,biote_city,biote_state,biote_zip,evexipel_practiceName,evexipel_phone,evexipel_street,evexipel_city,evexipel_stateCode,evexipel_zip,evexipel_id
Dr. Mario Anzaldua,(956) 519-7088,1512 E. Griffen Pkwy. Suite. 2,Mission,TX,78572,Mission Family Clinic,(956) 903-2245,1512 E Griffin Pkwy Ste,Mission,TX,78572,evx-2420
Womankind OB/GYN,956-688-5922,1200 E. Ridge Rd. Ste 3,McAllen,TX,78503,Hero Family Medicine Pllc,(956) 450-7044,1200 E Savannah Ave Suite 8,Mcallen,TX,78503,evx-2404
Heal and Glow Wellness,(702) 405-9819,2121 E Flamingo Road Suite 214,Las Vegas,NV,89119,Turtle Healing Band Clinic,(702) 996-3126,2121 East Flamingo Rd Ste 112,Las Vegas,NV,89119,evx-1634
Vance Medical Services,(208) 258-7558,1001 N. Meridian Road,Meridian,ID,83642,Vance Medical,(208) 793-5599,1001 N Meridian Rd,Meridian,ID,83642,evx-0978
Best Healthcare LLC,(928) 366-1062,2851 S Avenue B Suite 2601,Yuma,AZ,85364,Elite Medical Spa and Wellness,(505) 370-7376,2851 S Avenue B Lot 5,Yuma,AZ,85364,evx-0233
Altera Aesthetix,(912) 710-0274,1088 Bermuda Run Rd #A,Statesboro,GA,30458,Altera Aesthetixs - Statesboro,(912) 329-3743,1088 Bermuda Run Rd Unit,Statesboro,GA,30458,evx-0908
Upstream Medical Care and Aesthetics,(912) 600-1161,212 Johnny Mercer Blvd Suite B,Savannah,GA,31410,Upstream Medical Care and Aesthetics,(912) 446-6342,212 Johnny Mercer Blvd Suite,Savannah,GA,31410,evx-0904
Madonna OBGYN and Medical Spa,585-698-7077,1815 South Clinton Ave Suite 450,Rochester,NY,14618,Dr Madonna Tomani,(315) 791-1513,1815 S Clinton Ave Ste 450,Rochester,NY,14618,evx-1697
Center for Midwifery and Women's Health,(703) 957-1245,24430 Stone Springs Blvd Suite 475,Dulles,VA,20166,Millennium Medical Care - Stone Springs,(681) 540-0229,24430 Stone Springs Blvd Suite 200,Sterling,VA,20166,evx-2708
Women`s Wellness Center,(703)819-9696,7900 Sudley Rd Ste 424,Manassas,VA,20109,Integrative Medicine & Wellness,(240) 244-4913,7900 Sudley Road Suite 416,Manassas,VA,20109,evx-2703
Palmetto Womens Health,(843) 884-2206,1300 Hospital Dr,Mt Pleasant,SC,29464,Charleston Men's Clinic,(843) 508-2176,1300 Hospital Drive Suite 310,Pleasant,SC,29464,evx-1952
Burick Center for Health and Wellness,(717) 730-9000,2005 Technology Parkway Ste. 350,Mechanicsburg,PA,17050,Burick Center For Health And Wellness,(717) 853-1701,2005 Technology Pkwy Ste 350,Mechanicsburg,PA,17050,evx-1849
Comprehensive Family Wellness,775-900-3913,2321 Pyramid Way,Sparks,NV,89431,Comprehensive Family Wellness,(775) 526-3790,2321 Pyramid Way Suite,Sparks,NV,89431,evx-1647
Healing Advanced Solutions,(904) 373-1661,11555 Central PKWY STE 804,Jacksonville,FL,32224,Limitless Me Wellness,(904) 789-8027,"11555 Central Parkway, Suite 402",Jacksonville,FL,32224,evx-0512
Tailored Care Solutions,(904) 789-0643,13241 Bartram Park Blvd UNIT 513,Jacksonville,FL,32258,Coastal Medical Care,(904) 529-0740,13241 Bartram Park Boulevard Unit 713,Jacksonville,FL,32258,evx-0509
Carolina Clinic for Health and Wellness,252-757-3939,2414 Emerald Place,Greenville,NC,27834,Carolina Clinic for Health and Wellness,(252) 359-2043,2414 Emerald Pl,Greenville,NC,27834,evx-1456
Center for Hormone Health and Wellness,(757) 223-0940,711 BRICK KILN BLVD STE D,Newport News,VA,23602,Center for Weight Loss Success,(757) 854-9779,711 Brick Kiln Blvd Ste,Newport News,VA,23602,evx-2704
Alliance Regen and Rehab,(727) 258-7224,111 2nd Ave NE Suite 1401,St. Petersburg,FL,33701,ST PETE WELLNESS & MEDSPA,(727) 295-1370,111 2nd Ave NE Ste 1405 St,Petersburg,FL,33701,evx-0663
St. Pete Wellness & Medspa,727-873-0500,111 Second Ave NE Suite 1405,St. Petersburg,FL,33701,ST PETE WELLNESS & MEDSPA,(727) 295-1370,111 2nd Ave NE Ste 1405 St,Petersburg,FL,33701,evx-0663
Beyond Bela Med Spa,(787) 718-4028,201 E. Robertson St.,Brandon,FL,33511,Trinity Wellness,(727) 594-4956,201 Lithia Pinecrest Rd.,Brandon,FL,33511,evx-0443
Dr. Laura Staver,541-388-2207,628 NW York Drive Ste 104,Bend,OR,97703,Dr Laura Staver,(541) 546-1257,628 NW York Dr Ste 104,Bend,OR,97703,evx-1817
Stevenson Family Practice,(443) 944-8139,1300 S. Division St. Ste. C,Salisbury,MD,21804,Hogue Health Vitality and Aesthetics,(302) 404-2530,1300 S Division St Ste,Salisbury,MD,21804,evx-1311
Florida Cosmetic Center - Lakeland,(786) 705-2765,4019 US Hwy 98N Suite 121,Lakeland,FL,33809,Florida Cosmetic Center,(352) 227-6448,4019 US Hwy 98 N STE 121,Lakeland,FL,33809,evx-0532
J & J Aesthetics,941-315-4052,5323 4th Avenue Circle East,Bradenton,FL,34208,West Coast Women's Specialists,(727) 297-3764,5323 4th Ave Cir E,Bradenton,FL,34208,evx-0439
Lasting Impression Medical Aesthetics,201-579-3550,25-15 Fair Lawn Ave. Lower Level R,Fair Lawn,NJ,07410,Lasting Impression Medical Aesthetics,(845) 712-9616,25-15 Fair Lawn Ave,Lower Level R Fair Lawn,NJ,07410,evx-1544
"Yixiu Zheng, MD at Renaissance Medical",212-933-9661,220 East 63rd Street Suite LH,New York,NY,10065,Renaissance Medical,(646) 652-7368,220 East 63rd Street,Apt LH New York,NY,10065,evx-1651
Doctors of Northport - Elmhurst,718-699-9737,9406 59th Ave Suite E9,Elmhurst,NY,11373,Leva Medical P.C.,(973) 406-4177,9406 59Th Ave Ste,E-9 Elmhurst,NY,11373,evx-1661
Endocrinology Institute of South FL,(239) 799-1102,22904 Lyden Dr Ste 106,Estero,FL,33928,Endocrinology Institute of South Florida,(239) 350-2239,22904 Lyden Dr Unit 101,Estero,FL,33928,evx-0488
Optimal BioHealth,(425) 485-1413,10024 Main Street Suite. 2C,Bothell,WA,98011,Optimal Biohealth,(425) 484-7089,10024 Main Street Suite,Bothell,WA,98011,evx-2724
"VitalaTE, LLC",561-998-5100,2900 N. Military Trail Suite 241,Boca Raton,FL,33431,Boca Center for Healthy Living,(561) 994-2007,2900 N Military Trl Ste 245,Boca Raton,FL,33431,evx-0429
Glanz Aesthetics,(305) 434-8354,2000 NW 87 Ave Suite. 201,Doral,FL,33172,GLANZ Endocrinology Aesthetics Wellness,(754) 251-1068,2000 Northwest 87th Avenue Ste 201,Doral,FL,33172,evx-0479
Rotemberg Plastic Surgery PLLC,3052745170,7000 SW 62nd Avenue PH-B,South Miami,FL,33143,Somi Hormone Health & Wellness,(754) 219-4327,7000 SW 62nd Ave Ste 400,Miami,FL,33143,evx-0587
Joanna Finazzo MD OB/GYN,(305) 665-9644,7000 SW 62ND AVE STE 310,South Miami,FL,33143,Somi Hormone Health & Wellness,(754) 219-4327,7000 SW 62nd Ave Ste 400,Miami,FL,33143,evx-0587
Compassionate Health Medical Group - South Miami,(763) 343-7290,7000 SW 62 Ave Suite. 600,South Miami,FL,33143,Somi Hormone Health & Wellness,(754) 219-4327,7000 SW 62nd Ave Ste 400,Miami,FL,33143,evx-0587
Vitality Healthcare Group,(786) 904-5599,14873 S Dixie Highway,Miami,FL,33176,Vitality Healthcare Group,(786) 650-0014,14873 South Dixie Highway,Miami,FL,33176,evx-0590
Ashford Medical Center,787-721-1541,29 Calle Washington Lobby,Condado,PR,00907,Instituto Ginecologico,(787) 305-3369,29,Calle Washington LBBY San Juan,PR,00907,evx-1881
Dra Beatriz C. Soler-Blanco,(787) 900-1767,29 Calle Washington Suite. 301,San Juan,PR,00907,Instituto Ginecologico,(787) 305-3369,29,Calle Washington LBBY San Juan,PR,00907,evx-1881
Dr. Edgardo Rivera,787-724-8441,29 Calle Washington Ste 402,San Juan,PR,00907,Instituto Ginecologico,(787) 305-3369,29,Calle Washington LBBY San Juan,PR,00907,evx-1881
United Ob Gyn PSC,(787) 407-8064,655 Calle Dr. Pavia Fernandez Suite. 301,San Juan,PR,00909,Dr Nicolas Casellas,(787) 496-2790,655 Calle Dr Pavia Fernandez Suite 302,San Juan,PR,00909,evx-1895
Beaumedics,787-250-6016,961 Ave. F.D. Roosevelt,San Juan,PR,00920,Beaumedics,(787) 490-1283,961 FD Roosevelt Avenue,URB Puerto Nueva San Juan,PR,00920,evx-1910
"Antonio Ramirez-Gonzalez, MD",787-756-0100,735 AVE PONCE DE LEON STE 601 TORRE AUXILIO MUTUO,San Juan,PR,00917-5028,"Rodriguez Ginorio, Henry",(787) 699-3168,"735 Ave Ponce De Leon, Ste 405",Torre Auxilio Mutio San Juan,PR,00917,evx-1904
Dra. Carlos Pons,787-552-6722,735 Ponce de Leon Ave. Torre Auxilio Mutuo Suite 613,San Juan,PR,00917,"Rodriguez Ginorio, Henry",(787) 699-3168,"735 Ave Ponce De Leon, Ste 405",Torre Auxilio Mutio San Juan,PR,00917,evx-1904
Instituto Ginecologico - San Juan Medical,787-766-2003,4 Calle Rvdo Domingo Marrero ,San Juan,PR,00925,Instituto Ginecologico - Domingo,(939) 320-7403,4,Calle Rvdo Domingo Marrero San Juan,PR,00925,evx-1880
"Henry A. Rodriguez Ginorio, MD",787-753-4505,735 Ponce de Leon Ave. Suite 405,Hato Rey,PR,00917,"Rodriguez Ginorio, Henry",(787) 699-3168,"735 Ave Ponce De Leon, Ste 405",Torre Auxilio Mutio San Juan,PR,00917,evx-1904
