Provider Name,Street,City,State,Zip,Full Address,Phone,EvexiPEL Profile URL,Google Business URL
Bradenton East Integrative Medicine Pa,8614 East State Road 70 Ste 200,Bradenton,FL,34202,"8614 East State Road 70 Ste 200 Bradenton, FL 34202",(941) 213-5297,https://www.evexipel.com/hormone-replacement-therapy-provider/bradenton-east-integrative-medicine-pa-bradenton-fl/,
Carla D Chapman Plc,2001 Manatee Ave E Ste 102,Bradenton,FL,34208,"2001 Manatee Ave E Ste 102 Bradenton, FL 34208",(941) 304-1025,https://www.evexipel.com/hormone-replacement-therapy-provider/carla-d-chapman-plc-bradenton-fl/,
Mosaic Medicine,3934 E State Rd 64,Bradenton,FL,34208,"3934 E State Rd 64 Bradenton, FL 34208",(941) 294-3961,https://www.evexipel.com/hormone-replacement-therapy-provider/mosaic-medicine-bradenton-fl/,
West Coast Women's Specialists,5323 4th Ave Cir E,Bradenton,FL,34208,"5323 4th Ave Cir E Bradenton, FL 34208",(727) 297-3764,https://www.evexipel.com/hormone-replacement-therapy-provider/west-coast-womens-specialists-bradenton-fl/,
Womens Care of Bradenton,4216 Cortez Rd W,Bradenton,FL,34210,"4216 Cortez Rd W Bradenton, FL 34210",(727) 292-0131,https://www.evexipel.com/hormone-replacement-therapy-provider/womens-care-of-bradenton-fl/,
Balance Aesthetic and Wellness,1138 Nikki View Dr,Brandon,FL,33511-4868,"1138 Nikki View Dr Brandon, FL 33511-4868",(656) 232-0262,https://www.evexipel.com/hormone-replacement-therapy-provider/balance-aesthetic-and-wellness-brandon-fl/,
Biggers Family Medicine,538 Wilbur St,Brandon,FL,33511,"538 Wilbur St Brandon, FL 33511",(910) 994-8078,https://www.evexipel.com/hormone-replacement-therapy-provider/biggers-family-medicine-brandon-fl/,
Trinity Wellness,201 Lithia Pinecrest Rd.,Brandon,FL,33511,"201 Lithia Pinecrest Rd. Brandon, FL 33511",(727) 594-4956,https://www.evexipel.com/hormone-replacement-therapy-provider/trinity-wellness-brandon-fl/,
JL Wellness iClinic,305,Broadway Kissimmee,FL,34741,"305 Broadway Kissimmee, FL 34741",(689) 336-3454,https://www.evexipel.com/hormone-replacement-therapy-provider/jl-wellness-iclinic-kissimmee-fl/,
Aqua Med Spa & Wellness,4419 Del Prado Blvd S. Unit,Cape Coral,FL,33904,"4419 Del Prado Blvd S. Unit #4 Cape Coral, FL 33904",(239) 426-7389,https://www.evexipel.com/hormone-replacement-therapy-provider/aqua-med-spa-wellness-cape-coral-fl/,
Cape Doc,290 Nicholas Pkwy Nw Suite,Cape Coral,FL,33991,"290 Nicholas Pkwy Nw Suite #1 Cape Coral, FL 33991",(941) 214-3437,https://www.evexipel.com/hormone-replacement-therapy-provider/cape-doc-cape-coral-fl/,
Complete Womens Care,602 SE 16th Pl,Cape Coral,FL,33990,"602 SE 16th Pl Cape Coral, FL 33990",(941) 421-5766,https://www.evexipel.com/hormone-replacement-therapy-provider/complete-womens-care-cape-coral-fl/,
K&M Aesthetics,2301 Del Prado Blvd S Ste 180,Cape Coral,FL,33990,"2301 Del Prado Blvd S Ste 180 Cape Coral, FL 33990",(239) 323-6807,https://www.evexipel.com/hormone-replacement-therapy-provider/km-aesthetics-cape-coral-fl/,
Optimal Wellness,885 SE 47th Ter Ste,Cape Coral,FL,33904,"885 SE 47th Ter Ste C Cape Coral, FL 33904",(239) 666-8020,https://www.evexipel.com/hormone-replacement-therapy-provider/optimal-wellness-cape-coral-fl/,
Thrive by K,4636 SE 9th Place Suite,Cape Coral,FL,33904,"4636 SE 9th Place Suite A Cape Coral, FL 33904",(239) 356-8771,https://www.evexipel.com/hormone-replacement-therapy-provider/thrive-by-k-cape-coral-fl/,
"Health A New, LLC",5023 S Us Highway 17/92 Suite 2,Casselberry,FL,32707,"5023 S Us Highway 17/92 Suite 2 Casselberry, FL 32707",(352) 744-3870,https://www.evexipel.com/hormone-replacement-therapy-provider/health-a-new-llc-casselberry-fl/,
Beachside Medical Center,233 N,Causeway New Smyrna Beach,FL,32169,"233 N Causeway New Smyrna Beach, FL 32169",(386) 282-8984,https://www.evexipel.com/hormone-replacement-therapy-provider/beachside-medical-center-new-smyrna-beach-fl/,
"Dr. Lourdes T. Santiago, MD",1305 S Ft Harrison Ave BLDG,Clearwater,FL,33756,"1305 S Ft Harrison Ave BLDG A Clearwater, FL 33756",(727) 617-3199,https://www.evexipel.com/hormone-replacement-therapy-provider/dr-lourdes-t-santiago-md-clearwater-fl/,
The Grossgold Clinic,609 Lakeview Rd,Clearwater,FL,33756,"609 Lakeview Rd Clearwater, FL 33756",(727) 496-6659,https://www.evexipel.com/hormone-replacement-therapy-provider/the-grossgold-clinic-clearwater-fl/,
Elevate Health Medspa & Gynecology,3190 Citrus Tower Blvd Ste,Clermont,FL,34711,"3190 Citrus Tower Blvd Ste B Clermont, FL 34711",(863) 563-1618,https://www.evexipel.com/hormone-replacement-therapy-provider/elevate-health-medspa-gynecology-clermont-fl/,
FSPI,1804 Oakley Seaver Drive Suite,Clermont,FL,34711,"1804 Oakley Seaver Drive Suite F Clermont, FL 34711",(352) 720-6097,https://www.evexipel.com/hormone-replacement-therapy-provider/fspi-clermont-fl/,
Suncoast Medical of Clermont,1705 E HWY 50,Clermont,FL,34711,"1705 E HWY 50 Clermont, FL 34711",(727) 496-6923,https://www.evexipel.com/hormone-replacement-therapy-provider/suncoast-medical-of-clermont-fl/,
Ivy Wellness and Aesthetics,5542 S Flamingo Road,Cooper City,FL,33330,"5542 S Flamingo Road Cooper City, FL 33330",(314) 451-7623,https://www.evexipel.com/hormone-replacement-therapy-provider/ivy-wellness-and-aesthetics-cooper-city-fl/,
"John J. Martin JR., M.D., P.A.",2912 S Douglas Rd,Coral Gables,FL,33134,"2912 S Douglas Rd Coral Gables, FL 33134",(786) 808-7490,https://www.evexipel.com/hormone-replacement-therapy-provider/john-j-martin-jr-md-pa-coral-gables-fl/,
"Mother Stem Institute, Inc.",2100 Ponce de Leon Blvd Ste 1080,Coral Gables,FL,33134,"2100 Ponce de Leon Blvd Ste 1080 Coral Gables, FL 33134",(754) 219-2414,https://www.evexipel.com/hormone-replacement-therapy-provider/mother-stem-institute-inc-coral-gables-fl/,
VidaVital Medical Coral Gables,2030 S Douglas Rd Ste 201,Coral Gables,FL,33134,"2030 S Douglas Rd Ste 201 Coral Gables, FL 33134",(754) 310-3473,https://www.evexipel.com/hormone-replacement-therapy-provider/vidavital-medical-coral-gables-fl/,
Age to Perfection,7501 Wiles Road Suite 101,Coral Springs,FL,33067,"7501 Wiles Road Suite 101 Coral Springs, FL 33067",(754) 704-4285,https://www.evexipel.com/hormone-replacement-therapy-provider/age-to-perfection-coral-springs-fl/,
Dr CV Wellness and Aesthetic Medicine,5850 Coral Ridge Drive Suite 103,Coral Springs,FL,33076,"5850 Coral Ridge Drive Suite 103 Coral Springs, FL 33076",(754) 254-2613,https://www.evexipel.com/hormone-replacement-therapy-provider/dr-cv-wellness-and-aesthetic-medicine-coral-springs-fl/,
Dr. Katina Health & Wellness,2901 Coral Hills Dr Ste 330,Coral Springs,FL,33065,"2901 Coral Hills Dr Ste 330 Coral Springs, FL 33065",(954) 287-0672,https://www.evexipel.com/hormone-replacement-therapy-provider/dr-katina-health-wellness-coral-springs-fl/,https://share.google/r3jqTkTyx12zURHlc
MD Touch Aesthetics & Wellness,8884 Royal Palm Blvd,Coral Springs,FL,33065,"8884 Royal Palm Blvd Coral Springs, FL 33065",(954) 715-2717,https://www.evexipel.com/hormone-replacement-therapy-provider/md-touch-aesthetics-wellness-coral-springs-fl/,
Signature Rejuvenation MD,9722 Sample Rd.,Coral Springs,FL,33065,"9722 Sample Rd. Coral Springs, FL 33065",(908) 680-0589,https://www.evexipel.com/hormone-replacement-therapy-provider/signature-rejuvenation-md-coral-springs-fl/,
"Main Street Medical Center, LLC",369 N Main St,Crestview,FL,32536,"369 N Main St Crestview, FL 32536",(850) 409-2329,https://www.evexipel.com/hormone-replacement-therapy-provider/main-street-medical-center-llc-crestview-fl/,https://share.google/uzQJnPvZKD0I35zqs
LRI Medical,756 N Suncoast Blvd,Crystal River,FL,34429,"756 N Suncoast Blvd Crystal River, FL 34429",(352) 607-2007,https://www.evexipel.com/hormone-replacement-therapy-provider/lri-medical-crystal-river-fl/,
"Liquid V, Llc",7630 Sw 34Th Mnr Ste 400,Davie,FL,33328,"7630 Sw 34Th Mnr Ste 400 Davie, FL 33328",(754) 273-9551,https://www.evexipel.com/hormone-replacement-therapy-provider/liquid-v-llc-davie-fl/,
Longevity Health DNP,2056 S University Dr,Davie,FL,33324,"2056 S University Dr Davie, FL 33324",(954) 314-2529,https://www.evexipel.com/hormone-replacement-therapy-provider/longevity-health-dnp-davie-fl/,
Medilife Griffin,4705 Volunteer Rd. Suite 102,Davie,FL,33330,"4705 Volunteer Rd. Suite 102 Davie, FL 33330",(954) 645-8183,https://www.evexipel.com/hormone-replacement-therapy-provider/medilife-griffin-southwest-ranches-fl/,
Moxie Wellness Center,12515 Orange Dr Ste 803,Davie,FL,33330,"12515 Orange Dr Ste 803 Davie, FL 33330",(754) 212-9378,https://www.evexipel.com/hormone-replacement-therapy-provider/moxie-wellness-center-davie-fl/,https://www.google.com/search?q=Moxie+Wellness+Center&stick=H4sIAAAAAAAA_-NgU1I1qDBKTjJLNjM2S05OMzQ3STW1MqgwTU1JTE0xT0sySDVKNDdNXsQq6ptfkZmqEJ6ak5OXWlys4JyaV5JaBADOUZweQQAAAA&hl=en&mat=Cas8JdmMQlWRElYBTVDHnu1b-YYja6XjMR64cFM9l6zbNkJ2J8_45R0gBo7lhA3iiijzQu
My Wellness Practice,12555 Orange Drive Suite,Davie,FL,33330,"12555 Orange Drive Suite 100A Davie, FL 33330",(954) 335-0485,https://www.evexipel.com/hormone-replacement-therapy-provider/my-wellness-practice-davie-fl/,
Florida Internal Medical Associates,1899 W Hillsboro Blvd,Deerfield Beach,FL,33442,"1899 W Hillsboro Blvd Deerfield Beach, FL 33442",(754) 812-6867,https://www.evexipel.com/hormone-replacement-therapy-provider/florida-internal-medical-associates-deerfield-beach-fl/,
Intention Health & Wellness -Delray Beach,1690 South Congress Avenue Suite 212,Delray Beach,FL,33445,"1690 South Congress Avenue Suite 212 Delray Beach, FL 33445",(561) 485-4727,https://www.evexipel.com/hormone-replacement-therapy-provider/intention-health-wellness-delray-beach-fl/,
Anchor Injury and Integrative Health,1205 N,Dixie Fwy. New Smyrna Beach,FL,32168,"1205 N Dixie Fwy. New Smyrna Beach, FL 32168",(386) 270-0241,https://www.evexipel.com/hormone-replacement-therapy-provider/anchor-injury-and-integrative-health-new-smyrna-beach-fl/,
Bayshore Womens Healthcare,10305 Northwest 58th Street Suite 501,Doral,FL,33178,"10305 Northwest 58th Street Suite 501 Doral, FL 33178",(786) 953-7651,https://www.evexipel.com/hormone-replacement-therapy-provider/bayshore-womens-healthcare-miami-fl/,
EZ Healthcare Associates Inc.,8205 NW 12th Street Suite 4,Doral,FL,33126,"8205 NW 12th Street Suite 4 Doral, FL 33126",(954) 833-4020,https://www.evexipel.com/hormone-replacement-therapy-provider/ez-healthcare-associates-inc-doral-fl/,
GLANZ Endocrinology Aesthetics Wellness,2000 Northwest 87th Avenue Ste 201,Doral,FL,33172,"2000 Northwest 87th Avenue Ste 201 Doral, FL 33172",(754) 251-1068,https://www.evexipel.com/hormone-replacement-therapy-provider/glanz-endocrinology-aesthetics-wellness-doral-fl/,
H & M Family Center,1705 NW 82nd Ave.,Doral,FL,33126,"1705 NW 82nd Ave. Doral, FL 33126",(786) 551-9274,https://www.evexipel.com/hormone-replacement-therapy-provider/h-m-family-center-doral-fl/,
Sobella Aesthetics and Wellness,3905 NW 107th Avenue Suite 409,Doral,FL,33178,"3905 NW 107th Avenue Suite 409 Doral, FL 33178",(786) 791-7027,https://www.evexipel.com/hormone-replacement-therapy-provider/sobella-aesthetics-and-wellness-doral-fl/,
Velpem Medical Center,4055 Northwest 97th Avenue Fl 1,Doral,FL,33178,"4055 Northwest 97th Avenue Fl 1 Doral, FL 33178",(754) 348-1382,https://www.evexipel.com/hormone-replacement-therapy-provider/velpem-medical-center-doral-fl/,
Artisan Face And Body,"2101 Multrees Xing Unit 103, Suite 123",Dunedin,FL,34698,"2101 Multrees Xing Unit 103, Suite 123 Dunedin, FL 34698",(727) 274-9163,https://www.evexipel.com/hormone-replacement-therapy-provider/artisan-face-and-body-dunedin-fl/,
Bloom IV Hydration & Wellness,1425 Main St Suite,Dunedin,FL,34698,"1425 Main St Suite G Dunedin, FL 34698",(727) 761-7816,https://www.evexipel.com/hormone-replacement-therapy-provider/bloom-iv-hydration-wellness-dunedin-fl/,
Advantage Primary Care,20212 E. Pennsylvania Ave Suite,Dunnellon,FL,34432,"20212 E. Pennsylvania Ave Suite B Dunnellon, FL 34432",(352) 766-5788,https://www.evexipel.com/hormone-replacement-therapy-provider/advantage-primary-care-dunnellon-fl/,
Coastline Primary Care,109 W Knapp Ave,Edgewater,FL,32132,"109 W Knapp Ave Edgewater, FL 32132",(386) 282-5469,https://www.evexipel.com/hormone-replacement-therapy-provider/coastline-primary-care-edgewater-fl/,
Sante Wave Wellness and Aesthetics,3937 South Access Rd Unit,Englewood,FL,34224,"3937 South Access Rd Unit A Englewood, FL 34224",(815) 884-3219,https://www.evexipel.com/hormone-replacement-therapy-provider/sante-wave-wellness-and-aesthetics-englewood-fl/,
Endocrinology Institute of South Florida,22904 Lyden Dr Unit 101,Estero,FL,33928,"22904 Lyden Dr Unit 101 Estero, FL 33928",(239) 350-2239,https://www.evexipel.com/hormone-replacement-therapy-provider/endocrinology-institute-of-south-florida-estero-fl/,
Seadipity Wellness,22455,Flora Parke Crossing Fernandina Beach,FL,32034,"22455 Flora Parke Crossing Fernandina Beach, FL 32034",(985) 304-5377,https://www.evexipel.com/hormone-replacement-therapy-provider/seadipity-wellness-fernandina-beach-fl/,
Pain and Spine Specialists of Florida,4750 N FederalHwy Ste 100,Fort Lauderdale,FL,33308,"4750 N FederalHwy Ste 100 Fort Lauderdale, FL 33308",(561) 678-4398,https://www.evexipel.com/hormone-replacement-therapy-provider/pain-and-spine-specialists-of-florida-fort-lauderdale-fl/,
Sörce Health,717 SE 2nd street,Fort Lauderdale,FL,33301,"717 SE 2nd street #203 Fort Lauderdale, FL 33301",(561) 717-1376,https://www.evexipel.com/hormone-replacement-therapy-provider/sorce-health-fort-lauderdale-fl/,
3D Women's Health,3949 Evans Ave STE 107,Fort Myers,FL,33901,"3949 Evans Ave STE 107 Fort Myers, FL 33901",(239) 241-9648,https://www.evexipel.com/hormone-replacement-therapy-provider/3d-womens-health-fort-myers-fl/,
Rewind Beauty Bar,1815 Fowler St ste 3,Fort Myers,FL,33901,"1815 Fowler St ste 3 Fort Myers, FL 33901",(239) 256-5992,https://www.evexipel.com/hormone-replacement-therapy-provider/rewind-beauty-bar-fort-myers-fl/,
"Timeless Elegance Medicine & Clinic, PLLC",9924 Gulf Coast Main St Ste 8,Fort Myers,FL,33913,"9924 Gulf Coast Main St Ste 8 Fort Myers, FL 33913",(239) 323-7380,https://www.evexipel.com/hormone-replacement-therapy-provider/timeless-elegance-medicine-clinic-pllc-fort-myers-fl/,
West Coast Integrative Wellness Center,12486 Brantley Commons Ct,Fort Myers,FL,33907,"12486 Brantley Commons Ct Fort Myers, FL 33907",(239) 397-2436,https://www.evexipel.com/hormone-replacement-therapy-provider/west-coast-integrative-wellness-center-fort-myers-fl/,
ANewU Aesthetics & Wellness,4965 NW 8th Ave STE E,Gainesville,FL,32605,"4965 NW 8th Ave STE E Gainesville, FL 32605",(386) 588-8418,https://www.evexipel.com/hormone-replacement-therapy-provider/anewu-aesthetics-wellness-gainesville-fl/,
Synergy Medical Group,817 Northwest 56Th Terrace Ste,Gainesville,FL,32605,"817 Northwest 56Th Terrace Ste B Gainesville, FL 32605",(386) 433-8349,https://www.evexipel.com/hormone-replacement-therapy-provider/synergy-medical-group-gainesville-fl/,
NuRemedy Wellness,13131 Kings Lake Dr Unit 103,Gibsonton,FL,33534,"13131 Kings Lake Dr Unit 103 Gibsonton, FL 33534",(727) 607-6543,https://www.evexipel.com/hormone-replacement-therapy-provider/nuremedy-wellness-gibsonton-fl/,
Eternal Beauty Spa,8200 W 33 Avenue Suite 8,Hialeah,FL,33018,"8200 W 33 Avenue Suite 8 Hialeah, FL 33018",(786) 386-1358,https://www.evexipel.com/hormone-replacement-therapy-provider/eternal-beauty-spa-hialeah-fl/,
Sanchez Health Care,260 Hialeah Dr.,Hialeah,FL,33010,"260 Hialeah Dr. Hialeah, FL 33010",(786) 829-7209,https://www.evexipel.com/hormone-replacement-therapy-provider/sanchez-health-care-hialeah-fl/,
Retromoderno Primary Care Corp,8040 NW 95th St Ste 109,Hialeah Gardens,FL,33016,"8040 NW 95th St Ste 109 Hialeah Gardens, FL 33016",(754) 219-3764,https://www.evexipel.com/hormone-replacement-therapy-provider/retromoderno-primary-care-corp-hialeah-gardens-fl/,
Aesthetic Instinct Clinic,3325 Hollywood Blvd Ste 206,Hollywood,FL,33021,"3325 Hollywood Blvd Ste 206 Hollywood, FL 33021",(754) 209-2579,https://www.evexipel.com/hormone-replacement-therapy-provider/aesthetic-instinct-clinic-hollywood-fl/,
Jireh Medical Center,7900 Northwest 33Rd Street Ste 101,Hollywood,FL,33024,"7900 Northwest 33Rd Street Ste 101 Hollywood, FL 33024",(954) 420-8016,https://www.evexipel.com/hormone-replacement-therapy-provider/jireh-medical-center-hollywood-fl/,
South Florida Practitioners & Associates,15600 SW 288th St Ste 105,Homestead,FL,33033,"15600 SW 288th St Ste 105 Homestead, FL 33033",(786) 981-8196,https://www.evexipel.com/hormone-replacement-therapy-provider/south-florida-practitioners-associates-homestead-fl/,
Wellness Imagined,13910 Fivay Rd Ste 12,Hudson,FL,34667,"13910 Fivay Rd Ste 12 Hudson, FL 34667",(727) 761-6163,https://www.evexipel.com/hormone-replacement-therapy-provider/wellness-imagined-hudson-fl/,
CR Health & Wellness,420 4Th Avenue Suite,Indialantic,FL,32903,"420 4Th Avenue Suite A Indialantic, FL 32903",(321) 406-7382,https://www.evexipel.com/hormone-replacement-therapy-provider/cr-health-wellness-indialantic-fl/,
Citrus Infusion & Injection Center,906 Eden Dr,Inverness,FL,34452,"906 Eden Dr Inverness, FL 34452",(352) 697-7351,https://www.evexipel.com/hormone-replacement-therapy-provider/citrus-infusion-injection-center-inverness-fl/,
Amara Med Spa,4853 Big Island Dr,Jacksonville,FL,32246,"4853 Big Island Dr Jacksonville, FL 32246",(904) 822-3787,https://www.evexipel.com/hormone-replacement-therapy-provider/amara-med-spa-jacksonville-fl/,
Coastal Medical Care,13241 Bartram Park Boulevard Unit 713,Jacksonville,FL,32258,"13241 Bartram Park Boulevard Unit 713 Jacksonville, FL 32258",(904) 529-0740,https://www.evexipel.com/hormone-replacement-therapy-provider/coastal-medical-care-jacksonville-fl/,
Go Beyond Aesthetics,9770 Old Baymeadows Rd Suite 117,Jacksonville,FL,32256,"9770 Old Baymeadows Rd Suite 117 Jacksonville, FL 32256",(904) 822-0470,https://www.evexipel.com/hormone-replacement-therapy-provider/go-beyond-aesthetics-jacksonville-fl/,
Integra Concierge Medicine,10175 Fortune Pkwy Unit 204,Jacksonville,FL,32256,"10175 Fortune Pkwy Unit 204 Jacksonville, FL 32256",(904) 585-2250,https://www.evexipel.com/hormone-replacement-therapy-provider/integra-concierge-medicine-jacksonville-fl/,
Limitless Me Wellness,"11555 Central Parkway, Suite 402",Jacksonville,FL,32224,"11555 Central Parkway, Suite 402 Jacksonville, FL 32224",(904) 789-8027,https://www.evexipel.com/hormone-replacement-therapy-provider/limitless-me-wellness-jacksonville-fl/,
Luminess Med Spa,7540 Gate Pkwy Ste 109,Jacksonville,FL,32256,"7540 Gate Pkwy Ste 109 Jacksonville, FL 32256",(904) 456-0212,https://www.evexipel.com/hormone-replacement-therapy-provider/luminess-med-spa-jacksonville-fl/,https://share.google/6kHyJlWTIT8dIFrOD
Northeast Florida Internal Medicine,2065 Herschel St,Jacksonville,FL,32204,"2065 Herschel St Jacksonville, FL 32204",(904) 830-9584,https://www.evexipel.com/hormone-replacement-therapy-provider/northeast-florida-internal-medicine-jacksonville-fl/,
Nuvita Wellness Center,11512 Lake Mead Ave Unit 702,Jacksonville,FL,32256,"11512 Lake Mead Ave Unit 702 Jacksonville, FL 32256",(904) 674-3327,https://www.evexipel.com/hormone-replacement-therapy-provider/nuvita-wellness-center-jacksonville-fl/,
Omega Health & Wellness,8761 Perimeter Park Blvd Suite 101,Jacksonville,FL,32216,"8761 Perimeter Park Blvd Suite 101 Jacksonville, FL 32216",(904) 830-6034,https://www.evexipel.com/hormone-replacement-therapy-provider/omega-health-wellness-jacksonville-fl/,
Rejuvenate Life,8421 Baymeadows Way Ste 116,Jacksonville,FL,32256,"8421 Baymeadows Way Ste 116 Jacksonville, FL 32256",(904) 605-2369,https://www.evexipel.com/hormone-replacement-therapy-provider/rejuvenate-life-jacksonville-fl/,
Reliance Medical Associates of Jax,8833 Perimeter Park Blvd STE 503,Jacksonville,FL,32216,"8833 Perimeter Park Blvd STE 503 Jacksonville, FL 32216",(904) 817-0592,https://www.evexipel.com/hormone-replacement-therapy-provider/reliance-medical-associates-of-jax-jacksonville-fl/,
Slym Wellness Clinic,4241 Baymeadows Rd Suite 16,Jacksonville,FL,32217,"4241 Baymeadows Rd Suite 16 Jacksonville, FL 32217",(904) 506-1288,https://www.evexipel.com/hormone-replacement-therapy-provider/slym-wellness-clinic-jacksonville-fl/,
St Johns Integrated Health,11363 San Jose Blvd Suite,Jacksonville,FL,32223,"11363 San Jose Blvd Suite 102B Jacksonville, FL 32223",(904) 747-6931,https://www.evexipel.com/hormone-replacement-therapy-provider/st-johns-integrated-health-jacksonville-fl/,
Pure Harmony,1198 Beach Blvd Ste 8,Jacksonville Beach,FL,32250,"1198 Beach Blvd Ste 8 Jacksonville Beach, FL 32250",(904) 831-1335,https://www.evexipel.com/hormone-replacement-therapy-provider/pure-harmony-jacksonville-beach-fl/,
Ob/Gyn Specialists - Jupiter,345 Jupiter Lakes Blvd Ste 200,Jupiter,FL,33458,"345 Jupiter Lakes Blvd Ste 200 Jupiter, FL 33458",(561) 838-4243,https://www.evexipel.com/hormone-replacement-therapy-provider/obgyn-specialists-jupiter-fl/,https://share.google/q84be6vxn12i4hySU
Signature Keys Medical,3140 Northside Dr. BLDG,Key West,FL,33040,"3140 Northside Dr. BLDG A Key West, FL 33040",(786) 751-6446,https://www.evexipel.com/hormone-replacement-therapy-provider/signature-keys-medical-key-west-fl/,
Anna's Medical Care,316 W Bass St Unit 203,Kissimmee,FL,34741,"316 W Bass St Unit 203 Kissimmee, FL 34741",(786) 386-2166,https://www.evexipel.com/hormone-replacement-therapy-provider/annas-medical-care-kissimmee-fl/,
Central FL Total Healthcare Kissimmee,1118 Cypress Glen Cir,Kissimmee,FL,34741,"1118 Cypress Glen Cir Kissimmee, FL 34741",(386) 282-5175,https://www.evexipel.com/hormone-replacement-therapy-provider/central-fl-total-healthcare-kissimmee-fl/,
MG Medical Center,1213 N Central Ave,Kissimmee,FL,34741,"1213 N Central Ave Kissimmee, FL 34741",(863) 563-2276,https://www.evexipel.com/hormone-replacement-therapy-provider/mg-medical-center-kissimmee-fl/,
Sunshine Medical & Wellness Center,1001 West Cherry Street Ste,Kissimmee,FL,34741,"1001 West Cherry Street Ste A Kissimmee, FL 34741",(689) 407-2819,https://www.evexipel.com/hormone-replacement-therapy-provider/sunshine-medical-wellness-center-kissimmee-fl/,
RDM Magnolia Practice Care,777 W. Duval Street,Lake City,FL,32055,"777 W. Duval Street Lake City, FL 32055",(386) 272-5104,https://www.evexipel.com/hormone-replacement-therapy-provider/rdm-magnolia-practice-care-lake-city-fl/,
Still Waters Family Healthcare,1840 Forest Hill Blvd STE 201,Lake Clarke Shores,FL,33406,"1840 Forest Hill Blvd STE 201 Lake Clarke Shores, FL 33406",(561) 486-9631,https://www.evexipel.com/hormone-replacement-therapy-provider/still-waters-family-healthcare-lake-clarke-shores-fl/,
Clique Health & Wellness,5315 S Florida Avenue Ste 1,Lakeland,FL,33813,"5315 S Florida Avenue Ste 1 Lakeland, FL 33813",(863) 563-1943,https://www.evexipel.com/hormone-replacement-therapy-provider/clique-health-wellness-lakeland-fl/,https://www.google.com/search?q=Clique+Salon+%26+Med+Spa&stick=H4sIAAAAAAAA_-NgU1I1qLCwSEkxTjNOMzQ1NDYzMTC1MqhIMzFKM7GwtExLTEw1S0k2WsQq5pyTWViaqhCcmJOfp6Cm4JuaohBckAgAgZlvckIAAAA&hl=en&mat=CXMbZlXABa-IElcBTVDHnsgl_XVu2iGEwkFFb4xbRN6CyH0ctMuKQL6x7GoWVSexl8
Enhanced Lifestyle Healthcare,2125 Harden Blvd,Lakeland,FL,33803,"2125 Harden Blvd Lakeland, FL 33803",(863) 576-5309,https://www.evexipel.com/hormone-replacement-therapy-provider/enhanced-lifestyle-healthcare-lakeland-fl/,
Florida Cosmetic Center,4019 US Hwy 98 N STE 121,Lakeland,FL,33809,"4019 US Hwy 98 N STE 121 Lakeland, FL 33809",(352) 227-6448,https://www.evexipel.com/hormone-replacement-therapy-provider/florida-cosmetic-center-lakeland-fl/,
Freedom Family Practice,2929 Lakeland Highlands Rd Ste,Lakeland,FL,33803,"2929 Lakeland Highlands Rd Ste A2 Lakeland, FL 33803",(863) 270-8784,https://www.evexipel.com/hormone-replacement-therapy-provider/freedom-family-practice-lakeland-fl/,
Novus Spine & Pain Center,631 Mid-Florida Dr,Lakeland,FL,33813,"631 Mid-Florida Dr Lakeland, FL 33813",(863) 900-9405,https://www.evexipel.com/hormone-replacement-therapy-provider/novus-spine-pain-center-lakeland-fl/,
Randolph's Family Health and Wellness,3037 Lakeland Hills Blvd Ste,Lakeland,FL,33805,"3037 Lakeland Hills Blvd Ste 7A Lakeland, FL 33805",(863) 474-2769,https://www.evexipel.com/hormone-replacement-therapy-provider/randolphs-family-health-and-wellness-lakeland-fl/,
Age Reversal Technology Center,6968 Professional Pkwy,Lakewood Ranch,FL,34240,"6968 Professional Pkwy Lakewood Ranch, FL 34240",(941) 244-9178,https://www.evexipel.com/hormone-replacement-therapy-provider/age-reversal-technology-center-lakewood-ranch-fl/,
Concierge Health and Aesthetics,9015 Town Center Parkway Unit 112,Lakewood Ranch,FL,34202,"9015 Town Center Parkway Unit 112 Lakewood Ranch, FL 34202",(941) 347-0396,https://www.evexipel.com/hormone-replacement-therapy-provider/concierge-health-and-aesthetics-lakewood-ranch-fl/,
Eros Vitality,6958 Professional Pkwy,Lakewood Ranch,FL,34240,"6958 Professional Pkwy Lakewood Ranch, FL 34240",(941) 207-0355,https://www.evexipel.com/hormone-replacement-therapy-provider/eros-vitality-sarasota-fl/,
Premiere Concierge & Wellness,11505 Palmbrush Trl Ste 200,Lakewood Ranch,FL,34202,"11505 Palmbrush Trl Ste 200 Lakewood Ranch, FL 34202",(941) 946-5418,https://www.evexipel.com/hormone-replacement-therapy-provider/premiere-concierge-wellness-lakewood-ranch-fl/,https://share.google/bZ87VTFDxQQI4Nx25
Gard Wellness Solutions,325 W,"Lantana Rd, Lantana",FL,33462,"325 W Lantana Rd, Lantana, FL 33462",(561) 782-0169,https://www.evexipel.com/hormone-replacement-therapy-provider/gard-wellness-solutions-lantana-fl/,
Optimize Integrative Health,13201 Walsingham Rd Ste 101,Largo,FL,33774,"13201 Walsingham Rd Ste 101 Largo, FL 33774",(727) 312-0148,https://www.evexipel.com/hormone-replacement-therapy-provider/optimize-integrative-health-largo-fl/,
SynthesizedCare,9393 98th Avenue,Largo,FL,33777,"9393 98th Avenue Largo, FL 33777",(505) 370-3121,https://www.evexipel.com/hormone-replacement-therapy-provider/synthesizedcare-largo-fl/,
